feature,importance
mean_rcs,0.0720605581490821
day_of_year,0.0572633294730043
airspeed,0.055858138255768505
hour,0.05229767167045186
speed_mean,0.04781786403889407
max_z_meta,0.04744106555148886
mean_potential_energy,0.04361760841209135
mean_kinetic_energy,0.041636068480549425
mean_alt,0.03940682997300782
total_duration,0.03650230118235141
rcs_max,0.03611833967670741
displacement,0.03421611714896693
point_count,0.03214558415135084
min_z_meta,0.03024977855050477
meta_duration,0.02977204132531989
path_length,0.028808345763486506
mean_turn,0.02834438993162586
climb_rate_mean,0.02766079152468605
alt_std,0.027252211778855763
straightness,0.026476302926292078
std_turn,0.02575794606803478
sinuosity,0.02552767415901058
mean_turn_rate,0.025445142881176806
std_turn_rate,0.023401274164217726
speed_std,0.023199661770886337
mean_rcs_change,0.022966882007150344
rcs_std,0.022926572172170628
vertical_accel,0.019297232195357124
radar_bird_size,0.016532276617509764
